,Text,value
903,thực_trạng phổ_biến cục_bộ một t nào,0
904,mày người_nhà mày chắc vô bệnh_viện hay mày lủ quan_chức hả con chó,0
905,đi bệnh_viện cấp_cứu bỏ tiền vô nằm chờ chết thôi bệnh_viện tiền mới nhìn mặt,0
906,mấy con bò đỏ sao vô bình_luận bênh_vực đi nè,1
907,thời xã nghĩa nó thế đéo thôi liên_quan phường xã công_an bệnh_viện ức nổ_cổ,0
908,trời nghe bức_xúc cháu mình hồi đi hoc lớp bạn xô té tét đầu vô tram_xá mai mấy mũi thuốc về uống cấp_cứu gặp cảnh thiệt hết biết nói luôn mua bảo_hiểm_trường mua dám đem xử_dụng lần nào cảm_sốt chút_đỉnh qa bên dịch_vụ đóng tiền vô khám liền còn bảo_hiểm than_ôi,0
909,năm đóng tới hai loại bảo_hiểm y_tế học_đường à ai thử làm bài_toán xem bao_nhiêu tiền họ thu bảo_hiểm học_đường,0
910,đúng quân khốn_nạn ngành y_tế giáo_dục giáo_dục bây_giờ đại lưu_manh xã_hội tôn_thờ họ bậc trí_thức cao_thượng học đôi chữ đòi m ông nội người_ta,0
911,dù sắp chết nó đeo cứu đóng viện_phí nó mới cấp_cứu nha nguyên_tắc mấy ông nội nó bắt làm thế,0
912,dong tien vien phi_roi con phai dua phong bi bac si mo nua nhe gia dinh minh bi roi dua phong bi tr no con che it nua co,0
913,tầng khoa tim_mạch bv đa_khoa đà_nẵng thằng trưởng khoa xh đen giọng_điệu bảo_kê bvbệnh nhân ng nhà bệnh_nhân o khác trại_giam tất làm lệnh trưởng khoatình hình xảy nhìu sao tiếp_diễn,0
914,lạ nhỉ mình thấy vụ ở bv mình tai_nạn nt cấp_cứu đầy_đủ khỏe hẳn xuất_viện nt mới hỏi đến tiền mình mới đưa bảo_hiểm y_tế mất đúng nghìn tiền làm thủ_tục bảo_hiểm_muộn trong suốt quá_trình nằm ở đấy thấy ai hay ng nào nói về vấn_đề tiền chậm hay cấp_cứu,0
915,ma cà_rồng hút máu,0
916,con mình gãy tay đi tới bệnh_viện bác_sĩ bảo gần hết giờ cấp cứubó tay,0
917,cấp_cứu còn giờ,0
918,tất đa_số chúng tên mất dậy khoác mình hai chữ lương_y,0
919,mình gặp y chang giống bạn xin li tôi người_nhà bác_sĩ gọi chăm_sóc khác gọi nhờ_vả chăm_sóc khác bao_giờ tôi gọi nhờ_vả,0
920,ch gọi lương_y mẫu sao cấp kiếu chờ đóng tiền đầy_đủ mới kiếu kg ráng chịu nặng mấy kg chuyển tuyến đủ khả_năng trị kg k giấy chuyển,0
921,thể_chế cộng_sản tiền tiền thất_học tiền đói tiền chết tiề bao hệ_lụy tiếp còn lảnh đạo nhà vát vàng ghế đít bằng vàng,1
922,đa_số người sd bh y_tế cấp toàn thuốc kg tốt,0
923,dù bjét nhưg ngèo thôi kg trách_móc cấm kiến kiến pan động,1
924,câp cưu la viêc cân thiêt phai nhanh chong xư lykp đươc châm trê,0
925,tre e đươc bao hiêm ưu_tiên,0
926,ê kip bv lam viêc linh đông,1
927,xã_hội chủ_nghĩa đeng lanh đao bi chư no rưa đo loan hêt rui,1
928,bảo_hiểm_trình mai mới may đấynhờ đóng tiền_mặt mới may đấy tin tớ đi mai_mốt bh chi_trả tốt còn o xem cúng cô_hồn sớm đi,0
929,nó m đúng quy_tắc máy nó khác con robot tính người đâu thằng nào đi lệch qu đạo nó chút loại_bỏ,1
930,bảo sao xảy vụ hành_hung y bác s trong bệnh_viện,0
931,thằng bên bển lo lắm còn tổ c họp_báo đữa tiễn cơ đấy v,0
932,sống tử_tế ở việt_nam khó lắm dũng nghênh về hưu mới sống tử_tế thôi,1
933,con qu choàng áo trắng,0
934,tổ cha thằng nào nói trẻ_em việt nam chăm_sóc tốt nhât thế_giới,0
935,da biet la chung no nhu con de con e di_hoc lam gi hen nghi hoc het de coi tui no co lay duoc tien cua minh kg hjhj,0
936,hai noi nhiêu cung vây co lam gi khac hơn đâu,0
937,làm thế bác_sĩ phân_biệt chế_độ hay chế_độ nọ luôn đặt con_người lương_y hàng_đầu,0
938,lương_y mẫu bỏ mẫu mẹ gặp lương_y tiền bỏ_mẹ,0
939,bác_sĩ bây_giờ bảo_hiểm nó chờ nào chết thôi,0
940,tiền khỏi nói,0
941,con minh hoc lơp thôi đi hoc vê bi tai nan giao_thông đem vao bênh viên cung tôn tiên nhiêu lăm đo la con minh cung mua bao hiêm đu hêt nha,0
942,nhìn_nhận đáng_giá cách thiếu khách_quan toàn_diện mang nặng kiến chủ_quan người đăng bài viết,0
943,bịa_đặt câu đăng stt m học_sinh vô bệnh_viện thế,0
944,khon nan lu bat nhanluong y nhu phu_thuy,0
945,bác_sĩ lương_y ít bác_sĩ lương tháng,0
946,thiên_đường cộng_sản xin li tiền đưa em về thiên_đường thôi,1
947,con tôi tưng bi tai nan đi hoc sư viêc xay trong trươngva gd tôi cung la_nan nhân cua bon bao hiêm hoc sinh,0
948,ai chẳng thế tiềnchêt mặc_kệ,0
949,y_tế thiên_đường,1
950,con nay co no bay hoc kjoi lam gi het ve_nha ma cap dat ma_an,0
951,hoi con e chung may may co chiu noi mat day bo giao duc cha me may day may day ah,0
952,chăng co lương_tâm gi công_an vây,0
953,việt nam đáng sống nhất dặc biệt gặp nạn,0
954,lương_y mẫu biết lương_tâm nó đâu,0
955,quá đúng hiện_thực xh nghe tai_nạn hay đau_ốm đầu_tiên phương_án số,0
956,nói thật bs việt nam tiền vô trách nhiệmvô m thua bs ở malaysia hay thái lanmà việt nam ch nào mấy bà làm ở xã hách_dịch rồimình nói tất thường_xuyên gặp,0
957,y te cua nuoc chxhcnvn luong y tu mau day,1
958,chúng lương_y,0
959,lương tháng,0
960,e hỏi ngu tí bảo_hiểm y_tế đi khám bệnh tốn tiền,0
961,oi bac sy viêt nam ho lam nhu vay de lay lai tien luc đưt lot de đươc vao bênh vien,0
962,mình nghĩ mình trả viện_phí bảo_hiểm trả tiền mình,0
963,lương tam bác_sĩ bác_sĩ y thú lộn thú_y,0
964,đúng bịa_đặt rồichứ thật ở việt nam luôn ngạo_nghễ ngành y màlương y mẫu không đâubác sĩ việt nam tốt lắm luôn luôn luôn luôn_luôn nghĩ tới bác đầu_tiên m á,0
965,đâu khốn_nạn mất_dạy đâu lũ nó bảo hiêm kakaka mấy thằng lãnh_đạo câp cao bọn bây đâu chứng_kiến cảnh bệnh_viên,1
966,bệnh_viện việt nam khát_máu,0
967,mới vụ họ nhào vô đánh y_tá bác s,0
968,bình_thường bao bình_thường nghĩ đau_lòng mệt_mỏi,0
969,thường_ngày ở việt_nam,0
970,o việt nam cấp_cứu ma_nhắc đến bảo_hiểm_chi co chếtnhiêu viên y ta đến bác s no hông hách vòi tiền việt nam minh bgio thoát canh vay,0
971,bảo sao bác_sĩ chém oan,0
972,chính_quyền nào con_người đấy,0
973,đúng thực_tế,0
974,lũ ma qu áo trắng,0
975,hút máu người,0
976,tôi gặp trường_hợp tương_tự,0
977,nghe noi ma ngứa ngan chi an hoi lo la gioi,0
978,họ làm_tiền còn lương_tâm y_đức xuống hầm phân hết,0
979,bác sỉ lương_y mẩu đấy,0
980,ở việt_nam,0
981,cháu tai_nạn đúng quy_trình thôi tai_nạn chuẩn hồ_sơ thủ_tục đầy_đủ nhanh,0
982,bộ y_tế nói đi,1
983,đi viện cấp_cứu đủ tiền nộp bệnh_viện thiếu đồng nó cấp_cứu bao_giờ đặt số tiền gần hết đóng tiếp đắt_đỏ dã_man,0
984,cấp_cứu sao giấy chuyển viện huhu,0
985,vô bệnh_viện xòe tiền dù bh hay,0
986,thăng phu_huynh chau be nay ngu,0
987,đông tiên đi trươc la đông tiên khôn may đut lot bac si thi no hanh may la đung rôi,0
988,tiên bao hiêm triêu thi phai đut lot bac si trăm dê gi ma đươc trăm phân trăm,0
989,kiêu no vây,0
990,tất đóng tiền ho xử l bh yêu_cầu nghĩ hon,0
991,luong y cua csvn la tien luong tam chung ban mua bang tien sy cu nhan zooom,1
992,cấp_cứu m sao giấy_tờ chuẩn kịp,0
993,xử l cấp_bách hiện,0
994,thằng chột làm vua xứ mù,0
995,mạng cạnh_tranh facebook đâu òi,0
996,hội bảo_vệ trẻ emthanh thiếu niênphụ nữngười già_yếu thành lậpnhưng giúp ai tốn tiền thuế dân thôi,1
997,dân trịu công_chức hết trịu lập cục cục kia ăn dm,1
998,lu ăn hai vô dung,1
999,nghe cục biết cục,1
1000,cục cức trẻ_em,1
1001,xin li_nhe,0
1002,cục ct trẻ_em tôi còn biết cục trẻ_em vịt cộng chó,1
1003,chức_năng nó gom ct trẻ_em hả,1
1004,đất_nước đẻ cục quá chả biết cục trẻ cục,1
1005,ồ bây_giờ mình mới biết cục_trưởng cục trẻ_em xin li tệ_nạn trẻ đầy đấy ông cục làm đâu bầy vẽ lắm cục làm rút_gọn biên_chế đi dân đ còng lưng nuôi,1
1006,thương dân việt đóng thuế nuôi lũ vô_dụng,1
1007,đóng_góp hộp_thư spam tích_cực đấy,1
1008,cục_trưởng họ tên quê_quán đâu đố ai biết,1
1009,nghe lần đầu tạo cục ăn_tiền giải_ngân,1
1010,dân đóng thế nuôi một lũ biết ngồi xơi nước chả làm tích dì trẻ_em,1
1011,khác cục_trưởng cục bên đường đâu ăn no_tròn nằm bên đường lời ít ai gặp ghê né xa,1
1012,ủa ở việt nam cơ_quan bảo_vệ quyền trẻ_em luôn hả,1
1013,ở việt_nam cục chả thấy làm dân nhờ,1
1014,cục trẻ_em sao cục người già cao_tuổi,1
1015,bảo_vệ trẻ e dân_chủ đâunhân quyền ơi sao cháu chết oancác bành luận ziên oi kêu_gào mạnh,1
1016,lũ vây màyáu chia phần cục màyọi người biết trẻ mày bán vé_số đầy đường,1
1017,họ cte làm đâu dân biết đến,1
1018,xã_hội thấy tiếng nói tác_dụng kucj ghét,1
1019,giải_tán hết làm ji đâu sống bám ăn lương,0
1020,bảo_vệ mấy ông mập thây đúng hơn,1
1021,cục hòn giải_tán,1
1022,xứ vitco giỏi nói nhác làm,1
1023,giờ mới biết cục,0
1024,mới nghe nói về cục cức luôn,0
1025,trời ơi bây_giờ trẻ_em cục hả đến con_nít chúng tìm cục ăn hả,0
1026,bù_nhìn,1
1027,cục dep đi đ tốn tiền thuế_dân,1
1028,cha chuyển về làm cục_trưởng cục phân_bắc,1
1029,đéo biết cục luôn áđm,0
1030,sáng xách ô đi chiều xách vềtới tháng nhận lương thiếu xu,1
1031,ah zù cục cơ_á,0
1032,cục bảo_vệ người tiêu_dùng,0
1033,thấy nhắn mấy tin vô_bổ đc trò phết,0
1034,cuc trương cuc phân cuc cuc to nhât,1
1035,đổi thành cục nợ thôi,1
1036,đảng ăn_bám dân,1
1037,cục trẻ_em đặt bòn_rút vơ_vét tài_sản quốc_gia bản_thân nó chế_độ biết c năng nhiệm_vụ nó bó_tay,1
1038,nói thật đến giờ cục quyền_lợi bảo_vệ phụ_nữ trẻ_em chẳng m đúng hết trách_nhiệm tốn tiền thuế_giỏi,1
1039,cuc qq viết dấu viết,1
1040,cụctrưởng cục to nhất nặng nhất trong một đống cục biết,1
1041,nghe kì_cục,0
1042,ủa việt_nam cục_trưởng trẻ_em hả sống năm giờ mới biết,1
1043,loại nầy đa_phần bất_tài xạo ăn_bám khỏi đi m,1
1044,thấy gửi tin nhắn nhắc_nhở phone,0
1045,ngày mình còn nghĩ ở việt_nam tồn cục thật khoảng tháng trở thỉnh_thoảng thấy tin nhắn_gửi đến mới biết đến cục đầu mình còn nghĩ tin nhắn bọn lừa_đảo tìm_hiểu ờ_hóa còn cục thật,0
1046,sống năm giờ mới biết nước việt_nam cục trẻ_em,0
1047,giá_trị lợi dung hết thìthượng tá bùi tiến lợi ngừng đâyvất thùng rác,1
1048,sao thấy bác vt nào chửi phi_nhề,-1
1049,nươc nào cung quan điêm lí le riêng bảo_vệ lập trương về chủ quyên mình còn việt cộng sao hãy xem đồng_nát thê hiên,1
1050,đám dlv sắp hết_đất sống hết năm nay thôi,0
1051,haha tao đợi bọn năm gặp đứa nào tao nhét mõm,1
1052,buông tay gởi bạn món quà ăn_thông nao,0
1053,rau_muống xào thịt bò ngon tuyệt bọn y biết thế eo nào dkcơm k đủ ăn kkkk,0
1054,ề thấy cụm hải_phận hải_lí trung quốc xong gg xem hải_lí nó dài tới đâu nhá ps muốn đấu_tranh dân_chủ hết rèn khả_năng đọc hiểu,1
1055,tuyên_bố ngày_tháng năm hải_phận hải_lí trung tuốc nó nhận hoàng_sa trường sa nó đến đâu,1
1056,mày đọc hết công_hàm đồng_nát đọc thêm bò đo nghĩ đươc tơi đo đúng ếch ngồi đáy giêng,1
1057,đéo nói,0
1058,đọc tin o wiki sao kéo xuống phần nhận_xét quốc_tế đi hẻ đọc_sao phần chnd trung hoa nhề,0
1059,hãy nghe lính việt nam cộng_hoà nói nhé hay lính việt nam cộng_hoà cộng_sản mua_chuộc,-1
1060,thà bò đỏ dùng lí_lẽ bảo_vệ chủ_quyền hải_đảo còn hơn ai nghĩ mình đấu_tranh dân_chủ chống cộng thật chất hán nô tiếp_tay tàu,-1
1061,đến phần mộ ng đc gọi chiến_hữu mình lũ việt tân còn cộng_sản giữ tu_bổ còn ẳng,-1
1062,đọc wiki xong đọc phần nhận_xét quốc_tế đi nào,0
1063,trung tuốc nó tuyên_bố nào kệ mẹ nó ai công_nhận mới quan_trọng chúng_mày hiểu giờ việt nam tao tuyên_bố lãnh_thổ việt nam châu á thế ai chấp_nhận khôngtuyên bố kiểu còn nước ai đồng mới quan_trọng nhé,0
1064,chiến s việt nam cộng_hoà hi_sinh l tưởng mình còn mấy tên việt nam cộng_hoà còn sống mấy chục năm k về thăm dk lần ở bên sủa,0
1065,ntn lũ vong nô hải ngoại muôn_đời đứng bên đấy chõ_mõm sủa đổng thôi nghe con,0
1066,redbull làm_ơn trả_lời dùm nha,1
1067,dù việt_nam hay trung quốc vĩnh_viễn đéo bh việt_tân phần đâu chấp_nhận thật đi lũ vong quốc sâu_mọt,0
1068,gió đưa cây cải về trời rau_răm ở chịu đời đắng_cay,0
1069,thăng nay tưng xeo đươc rât,0
1070,mấy chú div đi nội_dung đi quanh_co,0
1071,cậu mới dám nói trong ai biết lặng_im,0
1072,thân_phận con ve_chó,0
1073,tân ơi đưa chi bò đỏ va dư lơn viên phục_kích trong page cay_cú,-1
1074,thế nầy sao bạn làm_ngơ muốn tư chúng_ta nhau đứng xin bạn đừng vô_cảm ai lộ chính bạn mới giải_quyết vấn_đề ngày hôm_nay chúc bạn kheo một tương_lai tươi_sáng hơn,0
1075,nhìn thôi người_ta còn sướng bằng vạn lần bọn sống lưu_vong ăn_bám đất khak chết ch chôn,0
1076,ngta hạnh_phúc vui_vẻ mi ngày thấy ai than thân trách phận,0
1077,trách phận đâu thằng chó nô cộng_sản nào lo đâu đành ôm hận sống thôi biết,1
1078,than ai bây_giờ,0
1079,thế màyày mày xemày màyấy thằng vô gia cư ai lo,0
1080,than ai trách ai,0
1081,bảo bảo o mi co nha free nguoi gia ngheo neo n thi hoi vo gia cu co nguoi lo hay_ho khong chiu,0
1082,than ai trách ai chính_sách ngu dân trong khí cướp_bóc tham_nhũng con_cháu đảng cộng_sản ai lam bọn chúng dm cộng_sản,1
1083,bảo bảo mày,0
1084,doc ma ruot nuoc mat doi song o vietnam sao ma kho the,0
1085,đảng csvn quang_vinh nghìn năm mới năm thôi,1
1086,nhờ nhóm việt tân hàng ngày tui giải_trí cảm_ơn nhé coi_chừng nhiễm covid đấy bệnh ai tấu hài giải_trí tôi đọc đâu đọc comments anh_chị bên california đ tốn thời_gian coi phim hài_á,1
1087,khách_sạn sao xhch bác,0
1088,mày còn tệ hơn,0
1089,chả nhẽ siêu cừ đối_xử người vạy sao,0
1090,tất kiến bạn tuyệt_vời,0
1091,sống tuổi bao_giờ thấy trường_hợp nào việt nam bây_giờ,0
1092,hèn kèm ngu sống đi ăn_mày bú ccccc,0
1093,cãi lôi ảnh muốn tìm một người l luận nói truyện khó,0
1094,thấy thông_tin bác ở mày nhớ giữ dìn sức_khỏe,0
1095,đúng lả việt cộng chừa một thủ_đoạn nào,1
1096,già thích vớ_vẩn hình_ảnh nói lời chúc an_lành,0
1097,ác_ôn người dân đi thờ ác_ôn thế_giới đường tượng sao thấy ai thờ diện thiệu thôi ông im mẹ đi nói câu nào lôi vài_ba ảnh nhét dăm_ba chữ thành chân l ấy khát vỉa_hè m cốc trà đá xem dân họ m ăn tạm_biệt,-1
1098,vietnamày ủng_hộ tàu khựa ngàn tiền mày phụ tiền xăng tàu khựa đưa tiêmày kích hoang saanh emày ít lắmày chơ phả thủ_tướng,1
1099,lãnh_đạo csviệt nam hèn_hạ lấy tiền thuế_dân đi kẻ chiếm hòn đảo dân_tộc mình kết_luận đảng csviệt nam khg hèn đúng hơn chính_đảng csviệt nam mới kẻ_thù dân_tộc việt nam đặt quyền_lợi kẻ_thù quyền_lợi dân_tộc mình,1
1100,tiền nịnh nịnh truyền_thống bỏ dù nó ác mình,0
1101,mấy tháng hạn_hán nức đất dân khóc ròng sao thấy chính_phủ việt nam một xu giờ đem trung tuốc bữa bữa nó tiêm_kích dập còn chịu sáng_mắt,1
1102,trung quốc lũ_lụt nặng_nề tụi bay ủng_hộ usd đủ xây cầu_tiêu trong biệt phủ tụi bay thôi sao nó mang tiêm_kích phản_lực hoàngtrường sa mới_lạ,1
1103,k đủ bảo dưng su quân việt_nam,0
1104,mày đế tiền việt cộng việt cộng lấy tiền tàu khựa ai ngu hơn ai,0
1105,thao thuc tiền loại mục_đích sử_dụng khác nhau tạo giá_trị riêng nó giống kiếm tiền m việt cộng đi ăn_cướp tiền hoặc m đĩ nó khác đồng_tiền chân_chính,0
1106,tra loi roi cam luon roi ha,0
1107,cấm việt nam khai_thác dầu đất biển mình chịu bồi_thường,1
1108,tiền đâu ủng_hộ trung tuốc moi tiền dân việt nam đem cúng thằng đàn_anh nghe thấy nhục quá lũ csviệt nam,1
1109,người dân_nghèo trong nước khốn_khổ trong mùa corona virus phúc niễng hổ trợ đem tiền dâng hiến tàu cộng đúng bọn súc_vật đội lốp người,1
1110,sánh con chó chúng_nó bằng hiểu_biết con chó,0
1111,con chó nó còn ngửi mùi người nào ăn thịt đồng_loại nónên nó sủa nó căm_ghét người,0
1112,đời thằng đảng cộng_sản bao_giờ nhân_cách bằng con chójuly,1
1113,nam phung tội con chó lắm sánh bọn nó hầm cầu nghẹt hay hơn,0
1114,súc_sinh hồ tặc não tầu hũ,0
1115,ông thủ_tướng sao ngu nhà nhác chú bác xiêng ông chức về nhà chăn heo,1
1116,viêt nam công san chinh quyên thuôc vê loaingu dôtcho phân biêt đơc đâu la ban đâu la thuno idea loai idiots stupidđâu óc cha ct heo,1
1117,phuoc nguyen hiểu ngoại_giao bà_cô,0
1118,phuoc nguyen đất_nước chúng mầy vượt_biên trốn,0
1119,mất mẹ giờ quay đầu sủa hùa,0
1120,nguyễn minh cường phai la ngoai giaotrong_bi thăng trung quôc chiêm biên đao minh phân biêt đươc china la ke thu cua minhmôt thăng đên cươp biên đao nươc minh co phai la_ban hay ke thuco phai bon công san ngu dôt,1
1121,dương trọng nguyễn bon tao bo trôn vi bon tao biêt bon ngu dôt la suc vât bon tao bo nươc đichi co co cơ hôi đê đi va ke ngu nh bon bây ở bam đichbon công sankiêm miêng ct ănmôi ngươi môt lưa n chu nhânbon bây n bon đâu óc cha ct heo lam chu đo la chuyên lu ngu bây,1
1122,phuoc nguyen ôi_thôi bạn ơi đừng biện_hộ ngu màyình ngoại_giao giống việt namày mày khẩu_trang nước thiết y_tế đấy hiểu ngoại_giao màyà thích sủa,1
1123,dương trọng nguyễn bon tao đa biêt bon công san la suc vâtnên chung tao quyêt đinh đi tim chu mơimôi ngươi co quyên la n chu nhân cua minhcung nh bon bây châp nhân ăn ct cua bon suc vâtbon tao thi thê ăn ct cua bon suc vâttao biêt bon bây ganh ti vơi bon taokhi bon bây trăng măt thi đa muôn man rôi,1
1124,phuoc nguyen z bọn mày cướp nước màyầy giết_hại đồng_bào màyầy sao màyầy k bảo_vệ màyà còn đi bọn nó đúng k bít nhục chó chó thôi,1
1125,mày đồng màyinh giúp dân việt chống_trả bọn du đảng búa liềmày,0
1126,phuoc nguyen thôi y im mõm súc_vật y đibỏ nước sang dạng háng bú cu bọn mẽo kiếm cơm thik sủa cànhy vọng corona sớm đem lò nhà y về đám ngụy phản_quốc nhà_y,0
1127,tầu nó táng chonó cướp đấtnó khinh quá khinh chó bọ ăn ct lãnh_đạo đình xun_xoe hối_lộ nịnh_bợ cộng_sản bắc kinh đủ thấy rõ bản_chất giòi bọ an nam cộng sảnđ,0
1128,dân việt nam khinh đảng mặtchỉ họ súng thôi,1
1129,nhân_dịp việt nam tuyển người bắt tài vô_dụng ăn tàn_phá_hại làng phá_hại xóm gửi tặng trung quốc làm bọc nô_lệ khổ sai nhé việt nam mới năng cao thông_minh nhé,1
1130,tuy sai xót bản_chất chúng bao_giờ thay_đổi hèn giặc sống ắc chính dân_tộc việt nam mình đầu,1
1131,k giúp đ đồng_bào mình chó thằng khựa làm jì nó ng tàu lớn hơn đâm tàu cá ngư_dân à,1
1132,việt nam luôn ủng hộtặngtqtq luôn việt nam mượn nợ giá cắt cổlấy đấtphá hoại kinh tếchiếm chủ_quyền việt nam việt_nam hạnh_phúc lấy l làm lãilấy nhục làm tự_hào lấy hèn làm hạnh_phúc đất_nước tuyên_giáo,1
1133,nhất_định viện_trợ trung quốc tiền cứu_trợ đồng_bào ta thiếu_thốn nè,1
1134,dù_sao tgiờời cgiờiến trung tuốc giờ trợ việt namày ngiờiều giờ giờọ gặp tgiờiên tai ủng giờộ cgiờút mày biển đảo biên_giới tìmày pa kgiờác đòi tácgiờ bạcgiờ đâu pgiờải tồi đến mày còn pgiờải e_ngại trung tuốc ngiờiều màyặt việt namày gây căng tgiờẳng trung tuốc màyọu màyặt đâu pgiờải giờàngiờ động kgiờôn ngoan,-1
1135,bạn ngụy_thu đủ tiền bán_nước trung tuốc,0
1136,gọi khiếp_nhược quy_phục muốn nói nhu_nhược hèn_nhát,1
1137,trung tuốc làm việt nam đảng ta tồn đến ngày hôm_nay,0
1138,chả lẽ muốn việt nam đánh luôn trung tuốc anh_hùng bàn_phím biết võ mồm làm đi,0
1139,đanh ai đánh trung_quốc hay đánh nga đánh việt_nam à nhu_nhược đánh hàng đánh_đấm mẹ_nửa,0
1140,con v thị thu thủy_con ngủ nhất đời biết nó ăn cơm việt hay ăn trung quốc sao phát_biểu câu vây nó tội đồ dân việt_nam,0
1141,tgiờằng già ngu ngiờu ngiờược tgiờật xấu giờ,0
1142,tin mày màyất nước,0
1143,dân đói bỏ_mẹ chúng bài trò xu_nịnh đúng lủ khốn_nạn,1
1144,nó đi xâm_chiếm chủ_quyền nước ta còn ô bà mang tiền sang nó tức mang tiền nhân_dân thằng ăn_cướp,1
1145,vấn_đề thật ủng_hộ,0
1146,hiện_giờ nói bạn hay thù đất_nước mình còn người nghèo_khổ lo dân mình tiên tốt nhất mình giàu giúp người,0
1147,hành_động một người bụng to trông châu não bé trái nho khô,1
1148,ăn đi nhận viện_trợ khắp lấy t đi cống thiên_triều trung tuốc còn dân trong nước mặc_kệ đầy túi bảo_vệ ghế chắc hết,1
1149,mình thấy trung quốc ủng_hộ mình bao gời,0
1150,viên trợ kẻ_thù ai phản_động,1
1151,đồng ủa hay tiền thuế họ cầm họ muốn ai họ dân nào nói đc nói ăn đòn,1
1152,gọi chơi loại vô_ơn tàn_bạo khác ngồi lưng hổ,1
1153,về hành_động tuân phục thiên_triều về lời_nói thiên_triều_phéphết,1
1154,dân còn đói thấy mẹ lo lo bao đồng,1
1155,chúng_nó xứng_đáng lãnh đạn lãnh_đạo quần_đùi,1
1156,bọn mày dư tiền hả lũ quan_chức cộng_sản bòn_rút đồng dân trao kẻ_thù bệnh_viện bệnh_nhân nằm giường đéo hiểu nổi lũ súc_vật cộng_sản,1
1157,zậy qu vị hiểu cộng_sản người dân vạn lần khg muốn quyền sinh sat nó nắm trong tay m kkk,1
1158,lũ mặc đồ tây đi nịn đầm cổ trang nè thiệt lố_bịch,1
1159,tai sao phai ung hô dân ta còn đoi khác,1
1160,nó xây đập ngăn dòng nước làm lợi nó hại dân mày điêu_đứng hạn_hán triền_miên giờ nó lãnh hậu_quả mày đem xương_máu đồng_bào cúng nó thật còn lời nào nói,1
1161,đừng con chó nào mở_miệng bạn vàng bi nhé bạn lôz ấy,0
1162,mai nhựt long đông bạn ủng_hộ bạn hoàn_toàn,0
1163,nói đến công sản máu sôi,1
1164,nghĩ nghẹo đầu biết sao_vầy,0
1165,bên biên_giới nhà,0
1166,bên kia biên_giới mới quê_hương,0
1167,bọn lđ lấy tiền_túi nhà chúng_nó chúng_nó muốn làm mặc,0
1168,nuôi ong tay_áo nó ăn tóm nuôi con ăn,0
1169,tôi đồng_tình chủ_trương chính_phủ tặng giặc phương bắc đô tôi nghe thấy bọn giặc tặng ta món trong thời_gian gần ngoài lấn_chiếm biển đảo việt nam_ta,0
1170,nhờ nhóm việt tân hàng ngày tui giải_trí cảm_ơn nhé coi_chừng nhiễm covid đấy bệnh ai tấu hài giải_trí tôi đọc đâu đọc comments anh_chị bên california đ tốn thời_gian coi phim hài_á,0
1171,tôi vô quan_ngại nịnh_hót ủng_hộ,1
1172,đưa ít quá nó m sao kiêu fe vay hay alo tiền ấy,0
1173,trung quốc kẻ_thù dân_tộc việt nam usa tặng trung tuốc ăn_cướp mồ_hôi nhân_dân một chính_quyền nô_lệ tàu phù,1
1174,việt nam xưa_nay m chút ích,1
1175,đi vay_mượn khắp_thiêng hạ_ma còn sỉ dân việt nam khổ hoài_vi con đầu đàng,1
1176,chó ăn hết,0
1177,nguoi viet bi nan trung quoc co dong nao chua,0
1178,chắc mở_đầu ổng lập_trình lai thôi cai kiểu dân điên à,1
1179,tiền bằng ba cô hoa_hậu bán diêm thôi màđáng,0
1180,csviệt nam đ ngu còn lai hèn na tôi dân việt nam thôi,1
1181,quan_ngại quá hí hí,0
1182,lẽ đưa màyi mày nó bơmày dầu đi tuần t biển đúng hơn,0
1183,đcsvn dựa màyày trung tuốc bắt_nạt màyày hề,1
1184,mang tiền dân kẻ_cướp,0
1185,giờ nó chưng máy_bay đập,0
1186,nghu quá,0
1187,tấu hài đi,0
1188,dich bệnh dân đéo đông nào vai thằng hộ nghèo vài đồng còn lai lấy tiền đi giặc chua thấy thằng trung quốc việt nam đéo gi,1
1189,khoái làm mấy sâu_bọ à,0
1190,khốn_nạn nhau đấy truyền_thống bọn cộng,1
1191,quá hèn_nhát đi ủng_hộ thằng ăn_cắp mình,0
1192,tặng đô_la nó mua xăng đổ tiêm_kích lái hoàng_sa bi_kịch,0
1193,bọn nó tự_quyết_định mọi dân biết đâu biết chẳng chẳng_thể_nào làm khác,1
1194,thuong hoang ha lenh thi dam bu nhin phai nghe la le thuong tinh,1
1195,k đáng bao việt nam kiểu tao bố_thí dân_chúng_mày mi đứa cầm mấy ngàn việt namđ tiêu đi,0
1196,bọn nó cống_nạp thiên hoàng đc hưởng hoàng_ân,1
1197,tiếp nhiên_liệu,0
1198,nhìn mặt phúc quẹo ghét quáthằng đi đâu nó mang lựu_đạn,1
1199,ghế_ngồi tao tập ban_tặng bây_giờ tập khôn dôn tao đền_đáp tao muốn móc_túi tao tao m còn cách nào hơnchi coi,1
1200,chính_phủ bù_nhìn,1
1201,chắc nó chê ít đấy,0
1202,dm mong ct con căc csvn đm nó sóng chên sương mau ngươi khác,1
1203,tánh mấy ổng đómấy ổng nghe mấy ổng kình chết,0
1204,chơi bạn hết_mình bạn chơi hết_hồn,0
1205,gọi cống_nạp,0
1206,thấy con bò đỏ nào kêu vui nhỉ,1
1207,trung cộng nó ép sao bây_giờ,0
